customer_id,city,age_group,segment,signup_date
C00001,Khulna,25-34,High Value,2024-02-29
C00002,Dhaka,35-44,Regular,2024-05-18
C00003,Chittagong,25-34,Occasional,2024-10-13
C00004,Dhaka,45-54,Occasional,2024-07-09
C00005,Dhaka,18-24,Regular,2024-07-30
C00006,Dhaka,25-34,Regular,2024-02-14
C00007,Dhaka,25-34,High Value,2025-10-19
C00008,Sylhet,35-44,Occasional,2025-03-21
C00009,Dhaka,25-34,High Value,2025-07-05
C00010,Dhaka,25-34,High Value,2025-08-09
C00011,Khulna,18-24,Regular,2024-08-11
C00012,Chittagong,25-34,Regular,2024-11-02
C00013,Chittagong,45-54,Occasional,2024-12-28
C00014,Khulna,25-34,Regular,2025-04-15
C00015,Sylhet,25-34,Regular,2024-07-14
C00016,Dhaka,25-34,High Value,2025-01-23
C00017,Dhaka,18-24,Occasional,2024-10-12
C00018,Dhaka,45-54,Regular,2024-10-24
C00019,Dhaka,25-34,Occasional,2024-06-03
C00020,Dhaka,35-44,High Value,2025-08-05
C00021,Sylhet,35-44,High Value,2025-08-04
C00022,Chittagong,25-34,High Value,2024-04-20
C00023,Dhaka,25-34,Regular,2025-01-13
C00024,Chittagong,25-34,Regular,2024-06-07
C00025,Dhaka,18-24,Occasional,2024-04-23
C00026,Rajshahi,25-34,Regular,2024-02-11
C00027,Rajshahi,45-54,High Value,2024-12-02
C00028,Dhaka,35-44,Regular,2025-03-04
C00029,Rajshahi,35-44,High Value,2025-01-07
C00030,Dhaka,25-34,Regular,2025-01-28
C00031,Khulna,18-24,Regular,2025-07-06
C00032,Dhaka,25-34,Regular,2025-05-04
C00033,Dhaka,25-34,Regular,2025-09-12
C00034,Dhaka,25-34,High Value,2024-10-12
C00035,Dhaka,18-24,Occasional,2024-12-06
C00036,Dhaka,25-34,Occasional,2025-06-01
C00037,Chittagong,25-34,Occasional,2024-02-22
C00038,Dhaka,35-44,Occasional,2024-09-13
C00039,Dhaka,35-44,High Value,2024-07-26
C00040,Chittagong,18-24,Regular,2025-04-24
C00041,Dhaka,18-24,High Value,2024-08-23
C00042,Dhaka,25-34,Regular,2024-05-30
C00043,Sylhet,18-24,Regular,2025-02-28
C00044,Khulna,18-24,Regular,2024-02-21
C00045,Dhaka,35-44,High Value,2025-09-03
C00046,Dhaka,55+,Regular,2025-06-06
C00047,Dhaka,25-34,Regular,2024-09-23
C00048,Khulna,35-44,Regular,2024-07-19
C00049,Dhaka,45-54,Regular,2025-07-30
C00050,Chittagong,25-34,Occasional,2025-06-02
C00051,Chittagong,25-34,Occasional,2024-08-04
C00052,Chittagong,18-24,High Value,2025-09-24
C00053,Dhaka,25-34,Regular,2025-01-30
C00054,Khulna,55+,Occasional,2024-02-09
C00055,Dhaka,35-44,Occasional,2024-03-23
C00056,Dhaka,35-44,Occasional,2024-06-19
C00057,Dhaka,45-54,Occasional,2024-03-17
C00058,Dhaka,25-34,Regular,2024-11-06
C00059,Dhaka,18-24,Regular,2024-05-06
C00060,Khulna,25-34,Regular,2025-08-24
C00061,Rajshahi,25-34,Regular,2025-09-25
C00062,Dhaka,55+,Occasional,2024-09-16
C00063,Dhaka,18-24,Occasional,2025-01-17
C00064,Dhaka,18-24,Occasional,2024-11-30
C00065,Dhaka,25-34,Regular,2024-05-08
C00066,Dhaka,25-34,High Value,2025-10-24
C00067,Dhaka,35-44,Regular,2024-01-07
C00068,Dhaka,45-54,Occasional,2025-09-08
C00069,Chittagong,55+,Regular,2024-01-02
C00070,Dhaka,25-34,Regular,2025-10-17
C00071,Chittagong,35-44,Occasional,2024-10-04
C00072,Dhaka,18-24,Regular,2024-08-28
C00073,Dhaka,25-34,Regular,2024-01-31
C00074,Sylhet,18-24,Occasional,2024-05-11
C00075,Sylhet,25-34,Regular,2024-07-26
C00076,Dhaka,25-34,Regular,2025-10-08
C00077,Dhaka,25-34,Regular,2025-10-24
C00078,Chittagong,35-44,Regular,2024-03-15
C00079,Dhaka,25-34,Occasional,2024-11-01
C00080,Chittagong,35-44,Regular,2025-09-21
C00081,Khulna,25-34,Occasional,2025-05-22
C00082,Dhaka,35-44,Occasional,2024-07-01
C00083,Sylhet,25-34,Regular,2024-06-12
C00084,Dhaka,18-24,High Value,2024-03-02
C00085,Sylhet,18-24,High Value,2024-12-14
C00086,Chittagong,25-34,Occasional,2024-09-15
C00087,Dhaka,35-44,Regular,2024-12-04
C00088,Rajshahi,25-34,Regular,2025-06-05
C00089,Dhaka,45-54,Occasional,2024-06-11
C00090,Chittagong,25-34,Regular,2024-10-30
C00091,Dhaka,18-24,Occasional,2025-10-24
C00092,Dhaka,35-44,Occasional,2024-12-26
C00093,Dhaka,35-44,Regular,2024-09-08
C00094,Sylhet,35-44,Regular,2025-07-03
C00095,Dhaka,45-54,Occasional,2025-03-16
C00096,Dhaka,35-44,Occasional,2024-05-07
C00097,Dhaka,25-34,High Value,2024-09-16
C00098,Rajshahi,18-24,Regular,2025-04-14
C00099,Dhaka,18-24,Regular,2024-05-20
C00100,Chittagong,25-34,Regular,2025-07-06
C00101,Dhaka,25-34,Regular,2024-03-22
C00102,Sylhet,25-34,High Value,2024-06-12
C00103,Chittagong,35-44,Regular,2025-07-31
C00104,Dhaka,45-54,Regular,2025-04-03
C00105,Dhaka,25-34,Occasional,2025-07-21
C00106,Dhaka,35-44,Regular,2025-02-28
C00107,Khulna,25-34,Regular,2024-08-08
C00108,Dhaka,25-34,High Value,2025-09-07
C00109,Sylhet,25-34,Occasional,2024-12-26
C00110,Dhaka,18-24,Occasional,2024-09-01
C00111,Dhaka,18-24,Occasional,2025-05-21
C00112,Sylhet,25-34,Regular,2025-03-26
C00113,Dhaka,25-34,Regular,2024-02-01
C00114,Sylhet,18-24,Regular,2024-01-02
C00115,Khulna,35-44,Regular,2024-07-31
C00116,Rajshahi,45-54,Regular,2024-01-13
C00117,Khulna,35-44,Occasional,2025-05-12
C00118,Chittagong,25-34,Occasional,2025-01-20
C00119,Dhaka,25-34,Occasional,2024-08-11
C00120,Sylhet,45-54,Regular,2024-10-29
C00121,Dhaka,25-34,High Value,2024-06-04
C00122,Dhaka,25-34,Occasional,2024-07-09
C00123,Dhaka,18-24,Occasional,2025-08-05
C00124,Dhaka,25-34,Regular,2024-07-18
C00125,Rajshahi,18-24,Regular,2024-05-07
C00126,Chittagong,25-34,Occasional,2025-02-25
C00127,Chittagong,18-24,Occasional,2024-04-30
C00128,Sylhet,18-24,High Value,2024-07-05
C00129,Chittagong,35-44,Occasional,2024-07-28
C00130,Dhaka,25-34,Regular,2024-04-04
C00131,Sylhet,25-34,High Value,2025-01-31
C00132,Chittagong,18-24,Regular,2024-03-05
C00133,Dhaka,18-24,Regular,2025-09-18
C00134,Khulna,35-44,Occasional,2025-04-26
C00135,Chittagong,18-24,Regular,2024-02-19
C00136,Dhaka,25-34,Regular,2025-06-19
C00137,Dhaka,45-54,Regular,2025-05-05
C00138,Dhaka,25-34,Regular,2025-08-10
C00139,Sylhet,35-44,Regular,2024-11-08
C00140,Dhaka,25-34,Regular,2025-08-23
C00141,Chittagong,55+,Regular,2025-08-01
C00142,Chittagong,45-54,Regular,2025-01-18
C00143,Dhaka,25-34,Regular,2024-10-13
C00144,Dhaka,25-34,Regular,2024-01-03
C00145,Dhaka,25-34,Regular,2024-10-16
C00146,Dhaka,35-44,Occasional,2024-09-01
C00147,Dhaka,35-44,Regular,2025-04-06
C00148,Chittagong,25-34,Regular,2025-01-02
C00149,Khulna,35-44,High Value,2024-09-21
C00150,Sylhet,35-44,Regular,2025-05-10
C00151,Dhaka,35-44,High Value,2024-08-15
C00152,Dhaka,45-54,Occasional,2025-05-31
C00153,Dhaka,18-24,Occasional,2024-10-21
C00154,Dhaka,35-44,Occasional,2024-02-27
C00155,Dhaka,25-34,Regular,2025-07-27
C00156,Dhaka,55+,Regular,2024-09-11
C00157,Dhaka,18-24,Regular,2025-02-11
C00158,Sylhet,25-34,Occasional,2024-03-14
C00159,Chittagong,25-34,Regular,2024-04-06
C00160,Dhaka,35-44,High Value,2024-06-28
C00161,Dhaka,35-44,Regular,2025-08-09
C00162,Sylhet,35-44,Occasional,2025-03-02
C00163,Sylhet,25-34,Occasional,2025-03-05
C00164,Dhaka,25-34,Regular,2024-02-01
C00165,Sylhet,18-24,Regular,2024-09-15
C00166,Dhaka,18-24,High Value,2025-04-01
C00167,Rajshahi,18-24,Regular,2025-09-20
C00168,Dhaka,18-24,Occasional,2025-04-03
C00169,Rajshahi,18-24,Regular,2024-09-16
C00170,Chittagong,25-34,Regular,2024-03-21
C00171,Dhaka,18-24,High Value,2025-07-04
C00172,Chittagong,35-44,Regular,2025-06-14
C00173,Khulna,18-24,Occasional,2025-02-10
C00174,Dhaka,35-44,Regular,2025-10-15
C00175,Dhaka,18-24,Regular,2024-06-12
C00176,Dhaka,35-44,Regular,2024-08-15
C00177,Dhaka,25-34,Regular,2025-03-25
C00178,Dhaka,35-44,Occasional,2024-04-06
C00179,Dhaka,25-34,Occasional,2024-01-02
C00180,Dhaka,18-24,Occasional,2024-07-15
C00181,Dhaka,35-44,High Value,2025-03-26
C00182,Chittagong,18-24,Regular,2024-02-01
C00183,Dhaka,18-24,Occasional,2024-02-26
C00184,Dhaka,18-24,Regular,2024-03-28
C00185,Chittagong,35-44,Occasional,2025-10-06
C00186,Dhaka,25-34,High Value,2024-12-13
C00187,Chittagong,35-44,Regular,2024-10-13
C00188,Dhaka,25-34,Regular,2025-06-12
C00189,Chittagong,35-44,Regular,2024-04-23
C00190,Dhaka,35-44,Occasional,2025-10-28
C00191,Dhaka,25-34,Regular,2024-07-31
C00192,Dhaka,25-34,High Value,2024-05-03
C00193,Rajshahi,18-24,Regular,2024-12-22
C00194,Dhaka,18-24,High Value,2024-08-11
C00195,Dhaka,25-34,Regular,2024-01-11
C00196,Chittagong,18-24,Regular,2024-12-18
C00197,Chittagong,25-34,Occasional,2025-06-18
C00198,Sylhet,55+,Regular,2024-07-28
C00199,Dhaka,45-54,Occasional,2024-01-14
C00200,Chittagong,25-34,Regular,2025-03-04
C00201,Rajshahi,18-24,Regular,2025-07-14
C00202,Dhaka,18-24,Regular,2025-05-26
C00203,Dhaka,25-34,Regular,2024-02-18
C00204,Rajshahi,18-24,Regular,2024-08-07
C00205,Dhaka,45-54,Occasional,2025-03-07
C00206,Dhaka,45-54,Regular,2024-05-22
C00207,Khulna,18-24,Regular,2024-01-16
C00208,Chittagong,25-34,Regular,2025-03-17
C00209,Dhaka,18-24,Regular,2025-07-23
C00210,Chittagong,18-24,Regular,2025-09-16
C00211,Dhaka,25-34,Occasional,2025-10-15
C00212,Dhaka,25-34,Regular,2024-10-22
C00213,Dhaka,18-24,Occasional,2024-02-05
C00214,Dhaka,35-44,Regular,2025-02-17
C00215,Dhaka,45-54,Occasional,2024-01-13
C00216,Dhaka,45-54,Regular,2024-06-28
C00217,Dhaka,25-34,Occasional,2025-02-19
C00218,Dhaka,25-34,Regular,2025-03-02
C00219,Dhaka,35-44,Regular,2024-06-18
C00220,Dhaka,18-24,Regular,2025-04-01
C00221,Khulna,25-34,Occasional,2024-12-15
C00222,Dhaka,45-54,High Value,2025-04-20
C00223,Sylhet,35-44,Occasional,2025-02-21
C00224,Rajshahi,18-24,Occasional,2025-01-04
C00225,Dhaka,25-34,Occasional,2025-06-24
C00226,Rajshahi,25-34,Occasional,2024-06-17
C00227,Rajshahi,18-24,Regular,2025-01-26
C00228,Rajshahi,18-24,Occasional,2024-11-27
C00229,Rajshahi,35-44,Occasional,2025-03-08
C00230,Dhaka,18-24,Regular,2025-05-02
C00231,Chittagong,18-24,Regular,2025-09-30
C00232,Chittagong,35-44,Occasional,2024-06-01
C00233,Dhaka,25-34,Occasional,2024-02-17
C00234,Dhaka,18-24,Occasional,2024-04-01
C00235,Chittagong,25-34,Occasional,2025-08-10
C00236,Dhaka,25-34,Occasional,2024-04-29
C00237,Sylhet,18-24,High Value,2024-10-20
C00238,Dhaka,25-34,Occasional,2025-06-15
C00239,Dhaka,18-24,Regular,2024-05-02
C00240,Dhaka,18-24,Occasional,2024-06-27
C00241,Dhaka,35-44,Regular,2025-07-08
C00242,Chittagong,45-54,Occasional,2025-04-04
